Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
O35608	-0.05	18.13	-0.13022421664798584	0.8976679992278381	0.9521505109977733	-6.38	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Angpt2
P31725	0.1	20.35	0.08433314889337064	0.9336158754165313	0.9728173311097553	-6.38	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	S100a9
Q62165	-0.11	18.68	-0.12115059653096122	0.9047603006967181	0.9574501684577582	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Dag1
P28741	0.04	16.45	0.09722023633467647	0.9235028666391524	0.9708228482355387	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Kif3a
Q5SSE9	-0.05	18.52	-0.10841118117413934	0.9147315980174275	0.9647915362173863	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Abca13
Q8VHF2	0.06	19.25	0.09089092623372315	0.9284681763323931	0.9728173311097553	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Cdhr5
P21956	-0.04	19.84	-0.08619580192306561	0.9321534234325428	0.9728173311097553	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Mfge8
P33587	0.03	19.96	0.08310834383679687	0.9345776561447492	0.9728173311097553	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Proc
P11672	0.05	18.23	0.07827483376028292	0.9383741678240576	0.9751731547975501	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Lcn2
Q99KI0	0.03	18.59	0.06248397947426103	0.9507872115990241	0.9832238627919702	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Aco2
P26041	-0.02	18.73	-0.06055453838717379	0.9523048733959962	0.9832238627919702	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Msn
Q61316	-0.04	15.8	-0.051307445429787726	0.9595809398847304	0.9859345359720331	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Hspa4
