"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"SMY1",24.9381612517734,25.0569482723406,25.2520752341933,25.1890350508973,25.4557506568615,22.7180062260315,21.2127210882124,21.5873052942657,22.7348625717111,22.0770247943188,21.4101524119074,21.0488415453409,0.1,0.1,0.1
"SMY2",23.667576870269,24.3550342648684,24.1772334544242,24.7704578786294,24.213630896357,20.9437986077458,20.8551925151987,21.4255957390788,21.117604740234,21.1817937561616,0.1,0.1,0.1,0.1,0.1
"SNA3",26.443694694422,27.5493646047442,27.2867052499152,27.3292707939523,27.6121497145658,23.5924491670354,23.7085848524825,23.483852425437,23.8182176241959,23.8353124880262,22.5934233808106,22.4187177444942,22.6212330545086,22.6050331825268,22.8252983971854
"SNC1",25.6754340166998,24.5662291503523,24.9534339262575,24.8799494918446,25.1921742362327,22.964683351848,23.4119879067188,23.3548347725156,23.2143610723763,23.2409556438417,22.1796464189441,22.2438460100519,21.8076764446465,22.0971107451579,22.3695727199208
"SNC2",26.1415020970255,26.5068769210968,26.7972469270341,27.0066873396601,27.1718992433841,25.0429498681325,25.157052707201,25.2666913708444,25.4283580320304,25.0495318900979,24.2400119430463,24.2454954765477,24.116046050332,24.2538691921053,24.1547047915695
"SNF1",26.0114305059339,26.1367824744023,25.9223592117369,26.4580789039656,26.1473002954211,23.592116068552,23.686743192661,23.5684586793235,23.7308488436824,23.6305665369091,22.6741787957576,22.752218718143,22.3699680220135,22.5726102606078,22.5769867558955
"SNF11",22.0774005557799,20.6551821727668,20.6475036610429,20.7679601303393,21.1005575993352,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"SNF2",24.8033707791738,25.2618738660337,25.4953084511102,25.9502280447015,24.9508589189884,22.4154073005705,22.1330918719095,22.0412346869282,22.139268892645,22.233159727554,0.1,0.1,0.1,0.1,0.1
"SNF4",26.0782982579015,26.4232198184981,26.7945969356749,26.7517425397505,26.9104637845126,25.2241069904587,25.2113636178432,25.1217573923563,25.4018624594271,25.1960511422059,24.1945875713006,24.4141187979752,24.1956905225115,24.1924503266928,24.2533126367225
"SNF5",21.9344263308177,22.9527448013745,23.3538237754969,23.2316899504273,22.9002541606269,0.1,20.7774728526299,20.8984502697128,20.7221412846808,20.6750406673461,0.1,0.1,0.1,0.1,0.1
