"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"IDI1",4.7266224108136,4.74182666879808,4.76739859923134,4.75787545789574,4.743061268675,4.62856993212347,4.6209401497837,4.62494070070121,4.62215129988381,4.62497063753541,4.57181476920065,4.56405072414945,4.55935466720563,4.56813020897146,4.55641829978971
"IDP1",4.81100513405848,4.82635750353857,4.84096241605636,4.84651310932384,4.84748449967672,4.73736899119823,4.7457072278989,4.74704981074564,4.74594826920089,4.74636262793897,4.68121170128068,4.68666749861112,4.6783116187893,4.6817783549307,4.68653932092892
"IDS2",4.65549693890273,4.67849944451967,4.68745354841726,4.60978469798184,4.68181455961726,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"IER3IP1",4.77406828715595,4.7893672350979,4.79612234176802,4.79515915150613,4.71623164276356,4.71731282987379,4.72873295727915,4.72113177105729,4.72224173452873,4.73365460983402,4.73940149421893,4.7051715768902,4.70158351292307,4.71966900099835,4.7375244659988
"IES1",4.57969403230236,4.61444372601776,4.53311182757733,4.52496927023833,4.53685628906279,4.44934099992185,4.3798218194567,4.42004041000796,0.1,4.45950721747763,4.36081192549861,0.1,0.1,0.1,0.1
"IES2",4.59833312281642,4.6243566857896,4.63413647231385,4.6430199819131,4.64650362554781,4.48927807065996,4.4457276939256,4.435758676824,4.47455404971467,4.47304480030734,4.37510464424206,4.3652350055118,4.32807082858484,4.44347625705715,4.2647796044079
"IES3",4.67055015395474,4.68152841062793,4.70425875514193,4.72381000052239,4.71138891010302,0.1,0.1,4.53885725072779,4.56286858035134,0.1,0.1,0.1,0.1,0.1,0.1
"IES4",4.65906774134099,4.66776959434041,4.6593065840953,4.67343437901183,4.6774648831618,4.5489512581571,4.57901968052566,4.58876618849154,4.55662238101634,4.53483994091544,4.51088575169409,4.53119090316049,4.47626762105498,0.1,4.51084381481633
"IES6",4.64047431203942,4.75245655920806,4.69529150971791,4.67093977379901,4.70584529493785,4.57848580255568,4.60515555568225,4.58048140234356,4.57575640344851,4.56737201619083,0.1,4.5026151057871,4.50180315936105,4.49652120402815,4.48923647987048
"IFA38",4.76056894651018,4.82649924380223,4.84351578686204,4.84038375340547,4.80507487181684,4.68843775721897,4.69444795849945,4.68476836060201,4.68722931375385,4.69196564502128,4.63502874028002,4.6303552539471,4.62743752361808,4.63171672214495,4.63188479295863
"IFH1",4.5847708167135,4.69990704796148,4.7278418200674,4.7291394669788,0.1,4.51460536742576,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"IFI16",4.61594723485068,4.64718960045614,4.62714303004485,4.64309337250233,4.63199469568808,4.61881600470536,4.6180795757097,4.60858548505573,4.61309566043058,4.61593688973546,4.61259836868033,4.60331304659847,4.6023010441982,4.60499677817964,4.60603653835809
"IFI30",4.52582161066347,4.54598137160086,4.56490087319519,4.54825457907449,4.55892353512171,4.46503099941698,4.44819600424918,4.4384087459521,4.46566916679892,4.44398172337735,4.4621681044321,4.46191607662624,4.46968355588742,4.45046942238243,4.42702953393554
